Tumor_Sample_Barcode	Tumor_ID	Patient_ID	Tumor_Sample_Label
Breast_1	Breast	Breast	Breast_1
Breast_2	Breast	Breast	Breast_2
Breast_3	Breast	Breast	Breast_3
Breast_4	Breast	Breast	Breast_4
Breast_5	Breast	Breast	Breast_5
Lung_1	Lung	Lung	Lung_1
Lung_2	Lung	Lung	Lung_2
Lung_3	Lung	Lung	Lung_3
Lung_4	Lung	Lung	Lung_4
Lung_5	Lung	Lung	Lung_5
Coad_1	Coad	Coad	Coad_1
Coad_2	Coad	Coad	Coad_2
Coad_3	Coad	Coad	Coad_3
Coad_4	Coad	Coad	Coad_4
Coad_5	Coad	Coad	Coad_5
OveryLM_1	OveryLM	OveryLM	OveryLM_1
OveryLM_2	OveryLM	OveryLM	OveryLM_2
OveryLM_3	OveryLM	OveryLM	OveryLM_3
OveryLM_4	OveryLM	OveryLM	OveryLM_4
OveryLM_5	OveryLM	OveryLM	OveryLM_5
OveryRM_1	OveryRM	OveryRM	OveryRM_1
OveryRM_2	OveryRM	OveryRM	OveryRM_2
OveryRM_3	OveryRM	OveryRM	OveryRM_3
OveryRM_4	OveryRM	OveryRM	OveryRM_4
OveryRM_5	OveryRM	OveryRM	OveryRM_5
OveryRM_6	OveryRM	OveryRM	OveryRM_6
UterusM_1	UterusM	UterusM	UterusM_1
UterusM_2	UterusM	UterusM	UterusM_2
UterusM_3	UterusM	UterusM	UterusM_3
UterusM_4	UterusM	UterusM	UterusM_4
UterusM_5	UterusM	UterusM	UterusM_5
UterusM_6	UterusM	UterusM	UterusM_6
UterusM_7	UterusM	UterusM	UterusM_7
