Tumor_Sample_Barcode	Tumor_ID	Patient_ID	Tumor_Sample_Label
BRCA_1	BRCA	BRCA	BRCA_1
BRCA_2	BRCA	BRCA	BRCA_2
BRCA_3	BRCA	BRCA	BRCA_3
BRCA_4	BRCA	BRCA	BRCA_4
BRCA_5	BRCA	BRCA	BRCA_5
LNET_1	LNET	LNET	LNET_1
LNET_2	LNET	LNET	LNET_2
LNET_3	LNET	LNET	LNET_3
LNET_4	LNET	LNET	LNET_4
LNET_5	LNET	LNET	LNET_5
READ_1	READ	READ	READ_1
READ_2	READ	READ	READ_2
READ_3	READ	READ	READ_3
READ_4	READ	READ	READ_4
READ_5	READ	READ	READ_5
OvaryLM_1	OvaryLM	OvaryLM	OvaryLM_1
OvaryLM_2	OvaryLM	OvaryLM	OvaryLM_2
OvaryLM_3	OvaryLM	OvaryLM	OvaryLM_3
OvaryLM_4	OvaryLM	OvaryLM	OvaryLM_4
OvaryLM_5	OvaryLM	OvaryLM	OvaryLM_5
OvaryRM_1	OvaryRM	OvaryRM	OvaryRM_1
OvaryRM_2	OvaryRM	OvaryRM	OvaryRM_2
OvaryRM_3	OvaryRM	OvaryRM	OvaryRM_3
OvaryRM_4	OvaryRM	OvaryRM	OvaryRM_4
OvaryRM_5	OvaryRM	OvaryRM	OvaryRM_5
OvaryRM_6	OvaryRM	OvaryRM	OvaryRM_6
UterusM_1	UterusM	UterusM	UterusM_1
UterusM_2	UterusM	UterusM	UterusM_2
UterusM_3	UterusM	UterusM	UterusM_3
UterusM_4	UterusM	UterusM	UterusM_4
UterusM_5	UterusM	UterusM	UterusM_5
UterusM_6	UterusM	UterusM	UterusM_6
UterusM_7	UterusM	UterusM	UterusM_7
